[curric] D2 excision: 165028 -> 164896 rows
[fb] mode=bp k_bp=8 seed=24 cell=fb_full_s24_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[fb] stream digests verified stock e0..e2
[fb] steps_total 15420 (5140/epoch) peak lr 0.0003
[fb] ep0: 5140 batches
  step 200/15420 loss 1.030 (5.2 it/s)
  step 400/15420 loss 0.812 (5.3 it/s)
  step 600/15420 loss 0.698 (5.3 it/s)
  step 800/15420 loss 1.048 (5.4 it/s)
  step 1000/15420 loss 0.304 (5.4 it/s)
  step 1200/15420 loss 0.527 (5.4 it/s)
  step 1400/15420 loss 0.447 (5.5 it/s)
  step 1600/15420 loss 0.474 (5.5 it/s)
  step 1800/15420 loss 0.816 (5.5 it/s)
  step 2000/15420 loss 0.751 (5.5 it/s)
  step 2200/15420 loss 0.381 (5.5 it/s)
  step 2400/15420 loss 0.427 (5.5 it/s)
  step 2600/15420 loss 0.631 (5.5 it/s)
  step 2800/15420 loss 0.227 (5.5 it/s)
  step 3000/15420 loss 0.573 (5.5 it/s)
  step 3200/15420 loss 0.607 (5.5 it/s)
  step 3400/15420 loss 0.598 (5.5 it/s)
  step 3600/15420 loss 0.372 (5.5 it/s)
  step 3800/15420 loss 0.400 (5.5 it/s)
  step 4000/15420 loss 0.466 (5.4 it/s)
  step 4200/15420 loss 0.262 (5.4 it/s)
  step 4400/15420 loss 0.514 (5.5 it/s)
  step 4600/15420 loss 0.280 (5.5 it/s)
  step 4800/15420 loss 0.590 (5.5 it/s)
  step 5000/15420 loss 0.424 (5.5 it/s)
[fb] ep1: 5140 batches
  step 5200/15420 loss 0.378 (5.4 it/s)
  step 5400/15420 loss 0.370 (5.5 it/s)
  step 5600/15420 loss 0.378 (5.4 it/s)
  step 5800/15420 loss 0.280 (5.4 it/s)
  step 6000/15420 loss 0.365 (5.4 it/s)
  step 6200/15420 loss 0.315 (5.4 it/s)
  step 6400/15420 loss 0.329 (5.4 it/s)
  step 6600/15420 loss 0.720 (5.4 it/s)
  step 6800/15420 loss 0.379 (5.4 it/s)
  step 7000/15420 loss 0.667 (5.4 it/s)
  step 7200/15420 loss 0.351 (5.4 it/s)
  step 7400/15420 loss 0.591 (5.4 it/s)
  step 7600/15420 loss 0.387 (5.4 it/s)
  step 7800/15420 loss 0.326 (5.4 it/s)
  step 8000/15420 loss 0.319 (5.4 it/s)
  step 8200/15420 loss 0.429 (5.4 it/s)
  step 8400/15420 loss 0.448 (5.4 it/s)
  step 8600/15420 loss 0.370 (5.4 it/s)
  step 8800/15420 loss 0.342 (5.4 it/s)
  step 9000/15420 loss 0.251 (5.4 it/s)
  step 9200/15420 loss 0.346 (5.4 it/s)
  step 9400/15420 loss 0.639 (5.4 it/s)
  step 9600/15420 loss 0.351 (5.4 it/s)
  step 9800/15420 loss 0.271 (5.4 it/s)
  step 10000/15420 loss 0.388 (5.4 it/s)
  step 10200/15420 loss 0.394 (5.4 it/s)
[fb] ep2: 5140 batches
  step 10400/15420 loss 0.271 (5.4 it/s)
  step 10600/15420 loss 0.349 (5.4 it/s)
  step 10800/15420 loss 0.440 (5.4 it/s)
  step 11000/15420 loss 0.364 (5.4 it/s)
  step 11200/15420 loss 0.277 (5.4 it/s)
  step 11400/15420 loss 0.336 (5.4 it/s)
  step 11600/15420 loss 0.339 (5.4 it/s)
  step 11800/15420 loss 0.412 (5.4 it/s)
  step 12000/15420 loss 0.365 (5.4 it/s)
  step 12200/15420 loss 0.363 (5.4 it/s)
  step 12400/15420 loss 0.557 (5.4 it/s)
  step 12600/15420 loss 0.224 (5.4 it/s)
  step 12800/15420 loss 0.283 (5.4 it/s)
  step 13000/15420 loss 0.351 (5.4 it/s)
  step 13200/15420 loss 0.347 (5.4 it/s)
  step 13400/15420 loss 0.310 (5.4 it/s)
  step 13600/15420 loss 0.377 (5.4 it/s)
  step 13800/15420 loss 0.760 (5.4 it/s)
  step 14000/15420 loss 0.374 (5.4 it/s)
  step 14200/15420 loss 0.329 (5.4 it/s)
  step 14400/15420 loss 0.241 (5.4 it/s)
  step 14600/15420 loss 0.347 (5.4 it/s)
  step 14800/15420 loss 0.428 (5.4 it/s)
  step 15000/15420 loss 0.336 (5.4 it/s)
  step 15200/15420 loss 0.694 (5.4 it/s)
  step 15400/15420 loss 0.495 (5.4 it/s)
[fb] saved checkpoints/frozenbb1/fb_full_s24_lr0.0003/final.pt after 15420 steps (2858s)
[fb] receipt appended to logs/frozenbb1/births.jsonl (final state_digest 78fdf6d42408eeb6)
