[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[transformers] The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
[tl] tower fused {'w4': 352, 's16': 48}
[tl] verify_routes OK: {'FusedW4Linear': 352, 'FusedS16Linear': 49, 'cpu_compressed_rows': 1}
[ci] tower up, routes {'FusedW4Linear': 352, 'FusedS16Linear': 49, 'cpu_compressed_rows': 1}
[ci] T=0.3 s=0 #0 fires=16 escaped=True eos=False ok=False gen=3072 292s
[ci] T=0.3 s=0 #3 fires=16 escaped=True eos=False ok=False gen=3072 297s
[ci] T=0.3 s=0 #4 fires=16 escaped=True eos=False ok=False gen=3072 295s
[ci] T=0.3 s=1 #0 fires=16 escaped=True eos=False ok=False gen=3072 291s
[ci] T=0.3 s=1 #3 fires=16 escaped=True eos=False ok=False gen=3072 290s
[ci] T=0.3 s=1 #4 fires=16 escaped=True eos=False ok=False gen=3072 290s
[ci] T=0.3 s=2 #0 fires=16 escaped=True eos=False ok=False gen=3072 291s
[ci] T=0.3 s=2 #3 fires=16 escaped=True eos=False ok=False gen=3072 290s
[ci] T=0.3 s=2 #4 fires=16 escaped=True eos=False ok=False gen=3072 298s
[ci] T=0.7 s=0 #0 fires=16 escaped=True eos=False ok=False gen=3072 297s
[ci] T=0.7 s=0 #3 fires=16 escaped=True eos=False ok=False gen=3072 295s
[ci] T=0.7 s=0 #4 fires=16 escaped=True eos=False ok=False gen=3072 308s
[ci] T=0.7 s=1 #0 fires=16 escaped=True eos=False ok=False gen=3072 318s
[ci] T=0.7 s=1 #3 fires=16 escaped=True eos=False ok=False gen=3072 314s
[ci] T=0.7 s=1 #4 fires=16 escaped=True eos=False ok=False gen=3072 300s
[ci] T=0.7 s=2 #0 fires=16 escaped=True eos=False ok=False gen=3072 290s
[ci] T=0.7 s=2 #3 fires=16 escaped=True eos=False ok=False gen=3072 306s
[ci] T=0.7 s=2 #4 fires=16 escaped=True eos=False ok=False gen=3072 297s
[ci] done
