[curric] D2 excision: 165028 -> 164896 rows
[sg] mode=zero k_bp=4 seed=28 cell=sgb7_control_s28_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[sg] stream digests verified stock e0..e2
[sg] frozen backbone: 29 frozen tensors, 30 trainable
[sg] steps_total 15420 (5140/epoch) peak lr 0.0003
[sg] ep0: 5140 batches
  step 200/15420 loss 1.064 (7.8 it/s)
  step 400/15420 loss 0.818 (8.1 it/s)
  step 600/15420 loss 0.705 (8.1 it/s)
  step 800/15420 loss 1.041 (8.2 it/s)
  step 1000/15420 loss 0.297 (8.4 it/s)
  step 1200/15420 loss 0.541 (8.4 it/s)
  step 1400/15420 loss 0.453 (8.5 it/s)
  step 1600/15420 loss 0.486 (8.4 it/s)
  step 1800/15420 loss 0.831 (8.4 it/s)
  step 2000/15420 loss 0.741 (8.4 it/s)
  step 2200/15420 loss 0.379 (8.4 it/s)
  step 2400/15420 loss 0.456 (8.4 it/s)
  step 2600/15420 loss 0.654 (8.4 it/s)
  step 2800/15420 loss 0.237 (8.4 it/s)
  step 3000/15420 loss 0.589 (8.4 it/s)
  step 3200/15420 loss 0.606 (8.4 it/s)
  step 3400/15420 loss 0.568 (8.4 it/s)
  step 3600/15420 loss 0.376 (8.4 it/s)
  step 3800/15420 loss 0.409 (8.4 it/s)
  step 4000/15420 loss 0.471 (8.4 it/s)
  step 4200/15420 loss 0.252 (8.4 it/s)
  step 4400/15420 loss 0.510 (8.4 it/s)
  step 4600/15420 loss 0.276 (8.4 it/s)
  step 4800/15420 loss 0.607 (8.4 it/s)
  step 5000/15420 loss 0.444 (8.4 it/s)
[sg] ep1: 5140 batches
  step 5200/15420 loss 0.386 (8.4 it/s)
  step 5400/15420 loss 0.373 (8.4 it/s)
  step 5600/15420 loss 0.381 (8.4 it/s)
  step 5800/15420 loss 0.311 (8.4 it/s)
  step 6000/15420 loss 0.369 (8.4 it/s)
  step 6200/15420 loss 0.319 (8.4 it/s)
  step 6400/15420 loss 0.347 (8.4 it/s)
  step 6600/15420 loss 0.738 (8.4 it/s)
  step 6800/15420 loss 0.379 (8.4 it/s)
  step 7000/15420 loss 0.696 (8.4 it/s)
  step 7200/15420 loss 0.357 (8.4 it/s)
  step 7400/15420 loss 0.593 (8.4 it/s)
  step 7600/15420 loss 0.397 (8.4 it/s)
  step 7800/15420 loss 0.334 (8.4 it/s)
  step 8000/15420 loss 0.347 (8.5 it/s)
  step 8200/15420 loss 0.425 (8.5 it/s)
  step 8400/15420 loss 0.442 (8.5 it/s)
  step 8600/15420 loss 0.374 (8.5 it/s)
  step 8800/15420 loss 0.346 (8.5 it/s)
  step 9000/15420 loss 0.264 (8.5 it/s)
  step 9200/15420 loss 0.340 (8.5 it/s)
  step 9400/15420 loss 0.632 (8.5 it/s)
  step 9600/15420 loss 0.349 (8.5 it/s)
  step 9800/15420 loss 0.285 (8.5 it/s)
  step 10000/15420 loss 0.393 (8.5 it/s)
  step 10200/15420 loss 0.396 (8.5 it/s)
[sg] ep2: 5140 batches
  step 10400/15420 loss 0.278 (8.5 it/s)
  step 10600/15420 loss 0.353 (8.5 it/s)
  step 10800/15420 loss 0.439 (8.5 it/s)
  step 11000/15420 loss 0.362 (8.5 it/s)
  step 11200/15420 loss 0.303 (8.5 it/s)
  step 11400/15420 loss 0.350 (8.5 it/s)
  step 11600/15420 loss 0.341 (8.5 it/s)
  step 11800/15420 loss 0.422 (8.5 it/s)
  step 12000/15420 loss 0.366 (8.5 it/s)
  step 12200/15420 loss 0.366 (8.5 it/s)
  step 12400/15420 loss 0.563 (8.5 it/s)
  step 12600/15420 loss 0.224 (8.5 it/s)
  step 12800/15420 loss 0.295 (8.5 it/s)
  step 13000/15420 loss 0.355 (8.5 it/s)
  step 13200/15420 loss 0.350 (8.5 it/s)
  step 13400/15420 loss 0.317 (8.5 it/s)
  step 13600/15420 loss 0.382 (8.5 it/s)
  step 13800/15420 loss 0.784 (8.5 it/s)
  step 14000/15420 loss 0.378 (8.5 it/s)
  step 14200/15420 loss 0.335 (8.5 it/s)
  step 14400/15420 loss 0.241 (8.5 it/s)
  step 14600/15420 loss 0.355 (8.5 it/s)
  step 14800/15420 loss 0.422 (8.5 it/s)
  step 15000/15420 loss 0.337 (8.5 it/s)
  step 15200/15420 loss 0.717 (8.5 it/s)
  step 15400/15420 loss 0.507 (8.5 it/s)
[sg] freeze law verified: 29 tensors bit-identical to W_0
[sg] saved checkpoints/sgbb7/sgb7_control_s28_lr0.0003/final.pt after 15420 steps (1806s)
[sg] receipt appended to logs/sgbb7/qual.jsonl (final state_digest 5600b094df53a469)
