[curric] D2 excision: 165028 -> 164896 rows
[sg] mode=zero k_bp=4 seed=27 cell=sgq_control_s27_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[sg] stream digests verified stock e0..e2
[sg] frozen backbone: 29 frozen tensors, 30 trainable
[sg] steps_total 15420 (5140/epoch) peak lr 0.0003
[sg] ep0: 5140 batches
  step 200/15420 loss 1.069 (8.3 it/s)
  step 400/15420 loss 0.830 (8.3 it/s)
  step 600/15420 loss 0.721 (8.4 it/s)
  step 800/15420 loss 0.975 (8.5 it/s)
  step 1000/15420 loss 0.299 (8.6 it/s)
  step 1200/15420 loss 0.553 (8.7 it/s)
  step 1400/15420 loss 0.459 (8.8 it/s)
  step 1600/15420 loss 0.496 (8.7 it/s)
  step 1800/15420 loss 0.818 (8.8 it/s)
  step 2000/15420 loss 0.725 (8.8 it/s)
  step 2200/15420 loss 0.382 (8.9 it/s)
  step 2400/15420 loss 0.443 (8.8 it/s)
  step 2600/15420 loss 0.645 (8.9 it/s)
  step 2800/15420 loss 0.223 (8.9 it/s)
  step 3000/15420 loss 0.594 (8.8 it/s)
  step 3200/15420 loss 0.605 (8.8 it/s)
  step 3400/15420 loss 0.582 (8.8 it/s)
  step 3600/15420 loss 0.382 (8.8 it/s)
  step 3800/15420 loss 0.409 (8.8 it/s)
  step 4000/15420 loss 0.475 (8.8 it/s)
  step 4200/15420 loss 0.267 (8.8 it/s)
  step 4400/15420 loss 0.525 (8.8 it/s)
  step 4600/15420 loss 0.275 (8.8 it/s)
  step 4800/15420 loss 0.594 (8.7 it/s)
  step 5000/15420 loss 0.428 (8.7 it/s)
[sg] ep1: 5140 batches
  step 5200/15420 loss 0.380 (8.7 it/s)
  step 5400/15420 loss 0.379 (8.8 it/s)
  step 5600/15420 loss 0.376 (8.7 it/s)
  step 5800/15420 loss 0.305 (8.8 it/s)
  step 6000/15420 loss 0.373 (8.8 it/s)
  step 6200/15420 loss 0.318 (8.8 it/s)
  step 6400/15420 loss 0.367 (8.8 it/s)
  step 6600/15420 loss 0.731 (8.8 it/s)
  step 6800/15420 loss 0.379 (8.8 it/s)
  step 7000/15420 loss 0.673 (8.8 it/s)
  step 7200/15420 loss 0.351 (8.8 it/s)
  step 7400/15420 loss 0.601 (8.8 it/s)
  step 7600/15420 loss 0.417 (8.8 it/s)
  step 7800/15420 loss 0.325 (8.8 it/s)
  step 8000/15420 loss 0.338 (8.8 it/s)
  step 8200/15420 loss 0.430 (8.9 it/s)
  step 8400/15420 loss 0.451 (8.9 it/s)
  step 8600/15420 loss 0.374 (8.9 it/s)
  step 8800/15420 loss 0.347 (8.9 it/s)
  step 9000/15420 loss 0.266 (8.9 it/s)
  step 9200/15420 loss 0.345 (8.9 it/s)
  step 9400/15420 loss 0.637 (8.9 it/s)
  step 9600/15420 loss 0.355 (8.9 it/s)
  step 9800/15420 loss 0.279 (8.9 it/s)
  step 10000/15420 loss 0.392 (8.9 it/s)
  step 10200/15420 loss 0.400 (8.9 it/s)
[sg] ep2: 5140 batches
  step 10400/15420 loss 0.274 (8.9 it/s)
  step 10600/15420 loss 0.349 (8.9 it/s)
  step 10800/15420 loss 0.441 (8.9 it/s)
  step 11000/15420 loss 0.366 (8.9 it/s)
  step 11200/15420 loss 0.296 (8.9 it/s)
  step 11400/15420 loss 0.350 (8.9 it/s)
  step 11600/15420 loss 0.346 (8.9 it/s)
  step 11800/15420 loss 0.411 (8.9 it/s)
  step 12000/15420 loss 0.360 (8.9 it/s)
  step 12200/15420 loss 0.366 (8.9 it/s)
  step 12400/15420 loss 0.565 (8.9 it/s)
  step 12600/15420 loss 0.223 (8.9 it/s)
  step 12800/15420 loss 0.289 (8.9 it/s)
  step 13000/15420 loss 0.351 (8.9 it/s)
  step 13200/15420 loss 0.349 (8.9 it/s)
  step 13400/15420 loss 0.312 (8.9 it/s)
  step 13600/15420 loss 0.377 (8.9 it/s)
  step 13800/15420 loss 0.761 (9.0 it/s)
  step 14000/15420 loss 0.379 (9.0 it/s)
  step 14200/15420 loss 0.330 (8.9 it/s)
  step 14400/15420 loss 0.241 (8.9 it/s)
  step 14600/15420 loss 0.352 (8.9 it/s)
  step 14800/15420 loss 0.427 (8.9 it/s)
  step 15000/15420 loss 0.341 (8.9 it/s)
  step 15200/15420 loss 0.712 (8.9 it/s)
  step 15400/15420 loss 0.498 (8.9 it/s)
[sg] freeze law verified: 29 tensors bit-identical to W_0
[sg] saved checkpoints/sgwriter1/sgq_control_s27_lr0.0003/final.pt after 15420 steps (1724s)
[sg] receipt appended to logs/sgwriter1/qual.jsonl (final state_digest e0f32905449596a7)
