[curric] D2 excision: 165028 -> 164896 rows
[caf] mode=hybrid k_bp=4 seed=23 cell=qual_hybrid_k4_s23_S1_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[caf] stream digests verified stock e0..e2
[caf] steps_total 15420 (5140/epoch) peak lr 0.0003
[caf] feedback digest 50aa7d9c6cc1f7fc s=1
[caf] ep0: 5140 batches
  step 200/15420 loss 1.650 (4.9 it/s)
  step 400/15420 loss 3.241 (5.1 it/s)
  step 600/15420 loss 3.115 (5.1 it/s)
  step 800/15420 loss 3.322 (5.2 it/s)
  step 1000/15420 loss 3.452 (5.3 it/s)
  step 1200/15420 loss 3.233 (5.3 it/s)
  step 1400/15420 loss 3.324 (5.3 it/s)
  step 1600/15420 loss 3.338 (5.3 it/s)
  step 1800/15420 loss 3.241 (5.3 it/s)
  step 2000/15420 loss 3.255 (5.3 it/s)
  step 2200/15420 loss 3.385 (5.3 it/s)
  step 2400/15420 loss 3.393 (5.3 it/s)
  step 2600/15420 loss 3.283 (5.3 it/s)
  step 2800/15420 loss 3.307 (5.3 it/s)
  step 3000/15420 loss 3.255 (5.3 it/s)
  step 3200/15420 loss 3.329 (5.3 it/s)
  step 3400/15420 loss 3.349 (5.3 it/s)
  step 3600/15420 loss 3.369 (5.3 it/s)
  step 3800/15420 loss 3.345 (5.3 it/s)
  step 4000/15420 loss 3.320 (5.2 it/s)
  step 4200/15420 loss 3.413 (5.2 it/s)
  step 4400/15420 loss 3.301 (5.2 it/s)
  step 4600/15420 loss 3.279 (5.2 it/s)
  step 4800/15420 loss 3.310 (5.2 it/s)
  step 5000/15420 loss 3.228 (5.2 it/s)
[caf] ep1: 5140 batches
  step 5200/15420 loss 3.271 (5.2 it/s)
  step 5400/15420 loss 3.348 (5.2 it/s)
  step 5600/15420 loss 3.208 (5.2 it/s)
  step 5800/15420 loss 3.207 (5.2 it/s)
  step 6000/15420 loss 3.240 (5.2 it/s)
  step 6200/15420 loss 3.266 (5.2 it/s)
  step 6400/15420 loss 3.213 (5.2 it/s)
  step 6600/15420 loss 3.320 (5.2 it/s)
  step 6800/15420 loss 3.270 (5.2 it/s)
  step 7000/15420 loss 3.263 (5.2 it/s)
  step 7200/15420 loss 3.262 (5.2 it/s)
  step 7400/15420 loss 3.279 (5.2 it/s)
  step 7600/15420 loss 3.264 (5.2 it/s)
  step 7800/15420 loss 3.317 (5.2 it/s)
  step 8000/15420 loss 3.208 (5.2 it/s)
  step 8200/15420 loss 3.438 (5.2 it/s)
  step 8400/15420 loss 3.263 (5.2 it/s)
  step 8600/15420 loss 3.244 (5.2 it/s)
  step 8800/15420 loss 3.351 (5.2 it/s)
  step 9000/15420 loss 3.160 (5.1 it/s)
  step 9200/15420 loss 3.236 (5.2 it/s)
  step 9400/15420 loss 3.266 (5.2 it/s)
  step 9600/15420 loss 3.291 (5.2 it/s)
  step 9800/15420 loss 3.167 (5.2 it/s)
  step 10000/15420 loss 3.234 (5.2 it/s)
  step 10200/15420 loss 3.320 (5.2 it/s)
[caf] ep2: 5140 batches
  step 10400/15420 loss 3.186 (5.2 it/s)
  step 10600/15420 loss 3.262 (5.2 it/s)
  step 10800/15420 loss 3.479 (5.2 it/s)
  step 11000/15420 loss 3.246 (5.2 it/s)
  step 11200/15420 loss 3.174 (5.2 it/s)
  step 11400/15420 loss 3.208 (5.2 it/s)
  step 11600/15420 loss 3.219 (5.2 it/s)
  step 11800/15420 loss 3.419 (5.2 it/s)
  step 12000/15420 loss 3.201 (5.2 it/s)
  step 12200/15420 loss 3.243 (5.2 it/s)
  step 12400/15420 loss 3.195 (5.2 it/s)
  step 12600/15420 loss 3.339 (5.2 it/s)
  step 12800/15420 loss 3.226 (5.2 it/s)
  step 13000/15420 loss 3.249 (5.2 it/s)
  step 13200/15420 loss 3.208 (5.2 it/s)
  step 13400/15420 loss 3.175 (5.2 it/s)
  step 13600/15420 loss 3.299 (5.2 it/s)
  step 13800/15420 loss 3.536 (5.2 it/s)
  step 14000/15420 loss 3.232 (5.2 it/s)
  step 14200/15420 loss 3.202 (5.2 it/s)
  step 14400/15420 loss 3.300 (5.2 it/s)
  step 14600/15420 loss 3.197 (5.2 it/s)
  step 14800/15420 loss 3.300 (5.2 it/s)
  step 15000/15420 loss 3.303 (5.2 it/s)
  step 15200/15420 loss 3.321 (5.2 it/s)
  step 15400/15420 loss 3.176 (5.2 it/s)
[caf] saved checkpoints/writercaf1/qual_hybrid_k4_s23_S1_lr0.0003/final.pt after 15420 steps (2957s)
[caf] receipt appended to logs/writercaf1/qual.jsonl (final state_digest 5b32938170357e2a)
